2020-11-18 08:27:21 startup archives unpack
2020-11-18 08:27:22 install readline-common:all <none> 7.0-5
2020-11-18 08:27:22 status half-installed readline-common:all 7.0-5
2020-11-18 08:27:22 status unpacked readline-common:all 7.0-5
2020-11-18 08:27:22 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 install libsasl2-2:amd64 <none> 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 status triggers-pending libc-bin:amd64 2.28-10
2020-11-18 08:27:22 status half-installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2020-11-18 08:27:22 install libldap-common:all <none> 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 status half-installed libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 install libldap-2.4-2:amd64 <none> 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 status half-installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u4
2020-11-18 08:27:22 install libpcre2-8-0:amd64 <none> 10.32-5
2020-11-18 08:27:22 status half-installed libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:22 status unpacked libpcre2-8-0:amd64 10.32-5
2020-11-18 08:27:22 install libpsl5:amd64 <none> 0.20.2-2
2020-11-18 08:27:22 status half-installed libpsl5:amd64 0.20.2-2
2020-11-18 08:27:22 status unpacked libpsl5:amd64 0.20.2-2
2020-11-18 08:27:22 install wget:amd64 <none> 1.20.1-1.1
2020-11-18 08:27:22 status half-installed wget:amd64 1.20.1-1.1
2020-11-18 08:27:22 status unpacked wget:amd64 1.20.1-1.1
2020-11-18 08:27:22 install libssl1.1:amd64 <none> 1.1.1d-0+deb10u3
2020-11-18 08:27:22 status half-installed libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:22 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:22 install openssl:amd64 <none> 1.1.1d-0+deb10u3
2020-11-18 08:27:22 status half-installed openssl:amd64 1.1.1d-0+deb10u3
2020-11-18 08:27:22 status unpacked openssl:amd64 1.1.1d-0+deb10u3
